yyyy,mm,dd,HH,MM,SS.SSS,lat(deg),lon(deg),depth(km),x(m),y(m),z(m),magnitude
2015,07,05,02,21,34.740,34.401705,-118.980013,13.762,395.1,-132.6,-319.5,1.03
2015,07,05,02,27,58.120,34.401575,-118.980452,13.991,354.8,-147.2,-89.6,0.46
2015,07,05,04,12,26.250,34.401432,-118.979883,13.962,407.2,-163.1,-119.0,0.53
2015,07,05,04,30,14.420,34.401912,-118.979582,13.891,434.7,-109.9,-189.9,0.36
2015,07,05,04,51,22.640,34.401424,-118.979769,13.802,417.3,-164.0,-279.3,0.57
2015,07,05,05,29,01.010,34.401794,-118.980615,13.838,339.5,-122.7,-243.4,0.40
2015,07,05,05,45,55.690,34.401546,-118.979582,13.852,434.5,-150.4,-228.8,0.64
2015,07,05,05,49,15.370,34.401786,-118.979435,13.880,447.8,-123.8,-201.1,0.43
2015,07,05,06,11,58.330,34.401676,-118.979313,13.840,459.5,-136.0,-241.4,0.35
2015,07,05,06,43,47.890,34.402075,-118.980656,13.913,336.2,-91.6,-167.6,0.36
2015,07,05,06,59,51.620,34.401876,-118.980924,13.950,311.3,-113.6,-131.4,0.38
2015,07,05,07,39,23.040,34.401510,-118.979110,13.964,478.5,-154.3,-117.0,0.45
2015,07,05,07,40,14.380,34.402364,-118.980518,13.818,348.4,-59.4,-262.6,0.36
2015,07,05,07,48,27.580,34.402360,-118.980216,13.845,376.0,-59.8,-236.2,0.19
2015,07,05,07,48,40.170,34.402222,-118.980461,13.807,353.6,-75.4,-274.1,0.66
2015,07,05,07,59,10.500,34.401615,-118.978923,13.863,495.3,-142.6,-218.5,0.85
2015,07,05,08,14,07.910,34.401550,-118.978817,13.868,504.8,-149.7,-212.6,0.55
2015,07,05,08,17,10.100,34.402079,-118.979460,13.878,446.2,-91.0,-202.9,0.34
2015,07,05,08,25,54.060,34.401807,-118.978898,13.814,497.5,-121.5,-267.3,0.20
2015,07,05,09,03,30.680,34.401331,-118.979142,13.867,475.1,-174.1,-213.6,0.54
2015,07,05,09,39,25.800,34.401839,-118.980737,13.748,328.8,-117.9,-333.1,0.72
2015,07,05,09,40,45.110,34.401331,-118.979687,13.849,425.0,-174.1,-232.2,0.24
2015,07,05,09,45,36.300,34.401888,-118.979175,13.785,471.9,-112.6,-296.0,0.97
2015,07,05,09,47,18.750,34.402197,-118.979110,13.835,478.4,-78.2,-246.2,0.21
2015,07,05,09,50,33.210,34.401587,-118.979150,13.781,474.1,-145.6,-300.2,0.16
2015,07,05,10,00,03.620,34.401607,-118.979028,13.772,485.7,-143.4,-308.9,0.15
2015,07,05,10,13,02.220,34.401550,-118.978556,13.788,528.9,-150.0,-293.0,0.92
2015,07,05,10,44,47.390,34.402067,-118.979508,13.706,441.7,-92.4,-374.9,0.23
2015,07,05,10,45,56.250,34.402120,-118.979753,13.780,419.3,-86.8,-301.1,0.52
2015,07,05,10,46,20.600,34.402039,-118.979557,13.832,436.9,-95.9,-249.3,0.77
2015,07,05,10,57,49.780,34.401241,-118.978849,13.884,502.1,-184.3,-197.2,0.55
2015,07,05,11,03,32.850,34.401192,-118.978768,13.833,509.8,-189.4,-247.9,0.32
2015,07,05,11,04,29.200,34.400997,-118.978776,13.889,508.8,-211.0,-191.6,0.32
2015,07,05,11,08,43.510,34.401200,-118.978979,13.823,489.8,-188.9,-258.0,0.65
2015,07,05,11,09,28.670,34.401005,-118.978825,13.746,504.5,-210.1,-335.1,0.80
2015,07,05,11,36,41.460,34.401668,-118.978402,13.808,543.2,-136.9,-272.9,0.34
2015,07,05,11,39,12.770,34.401619,-118.978337,13.769,548.9,-142.1,-312.4,0.31
2015,07,05,11,40,06.520,34.401636,-118.978263,13.802,555.9,-140.2,-278.6,0.47
2015,07,05,12,04,46.510,34.402128,-118.979696,13.789,424.5,-85.8,-292.1,0.33
2015,07,05,12,13,54.750,34.401640,-118.979891,13.776,406.4,-139.8,-305.0,0.82
2015,07,05,12,15,59.350,34.401095,-118.978638,13.811,521.2,-200.4,-270.5,0.36
2015,07,05,12,25,04.510,34.400793,-118.978752,13.778,511.4,-233.8,-302.9,0.42
2015,07,05,12,34,46.460,34.401603,-118.978198,13.783,561.8,-144.0,-297.9,0.85
2015,07,05,13,04,53.930,34.401188,-118.978662,13.835,519.2,-190.2,-246.4,0.62
2015,07,05,13,12,33.690,34.401058,-118.978483,13.864,535.4,-204.3,-217.3,0.37
2015,07,05,13,15,06.410,34.402336,-118.980013,13.893,395.0,-62.6,-188.5,0.50
2015,07,05,13,15,39.630,34.401880,-118.980371,13.828,361.9,-113.1,-252.8,2.32
2015,07,05,13,16,34.160,34.402527,-118.979761,13.802,418.5,-41.5,-279.0,1.74
2015,07,05,13,17,28.860,34.402653,-118.979354,13.891,455.8,-27.6,-190.3,0.39
2015,07,05,13,21,32.480,34.402051,-118.980672,13.762,334.5,-94.4,-319.2,0.46
2015,07,05,13,25,05.220,34.402258,-118.980029,13.786,393.6,-71.5,-295.1,0.38
2015,07,05,13,27,57.590,34.402498,-118.979443,13.816,447.2,-44.7,-265.0,0.81
2015,07,05,14,01,12.190,34.400907,-118.978337,13.741,549.1,-221.3,-339.6,0.68
2015,07,05,14,42,39.380,34.401025,-118.980575,13.764,343.1,-207.9,-317.0,0.46
2015,07,05,14,51,54.580,34.400732,-118.980306,13.711,367.9,-240.6,-370.0,0.99
2015,07,05,15,36,19.040,34.402319,-118.978646,13.959,521.1,-64.6,-121.6,0.44
2015,07,05,15,44,00.120,34.401994,-118.977669,13.798,610.5,-100.5,-283.2,0.56
2015,07,05,15,57,56.520,34.401986,-118.981185,13.751,287.3,-101.7,-330.4,0.65
2015,07,05,16,04,58.370,34.401465,-118.980623,13.737,339.3,-159.5,-343.8,0.87
2015,07,05,16,45,15.070,34.401107,-118.979557,13.735,437.1,-199.1,-346.0,0.79
2015,07,05,16,47,09.910,34.401099,-118.979370,13.804,453.9,-200.0,-277.5,0.77
2015,07,05,18,48,16.360,34.400887,-118.979411,13.850,450.4,-223.3,-230.6,0.98
2015,07,05,19,04,33.160,34.401139,-118.980558,13.788,345.2,-195.3,-292.9,0.91
2015,07,05,20,16,27.800,34.400667,-118.980729,13.766,329.2,-247.8,-315.2,0.92
2015,07,05,21,11,17.300,34.401204,-118.978434,13.762,539.9,-188.3,-319.3,0.91
2015,07,05,21,22,37.800,34.401127,-118.979199,13.777,469.7,-196.9,-304.5,0.79
2015,07,06,00,30,52.030,34.401676,-118.977970,13.822,583.1,-135.7,-259.5,0.56
2015,07,06,01,52,33.860,34.401656,-118.980623,13.759,338.8,-138.1,-322.2,0.50
2015,07,06,05,13,14.820,34.400944,-118.979370,13.732,454.4,-217.2,-349.1,0.73
2015,07,06,05,19,23.430,34.400936,-118.979777,13.759,417.1,-218.2,-322.1,0.39
2015,07,06,05,19,49.250,34.400822,-118.979867,13.694,408.4,-230.8,-386.6,0.36
2015,07,06,07,11,07.410,34.401432,-118.980688,13.639,333.0,-162.9,-441.9,0.26
2015,07,06,07,24,57.260,34.401184,-118.981592,13.870,250.0,-190.5,-210.6,0.46
2015,07,06,07,27,03.910,34.401379,-118.981413,13.769,266.2,-168.9,-312.3,0.26
2015,07,06,08,25,15.060,34.400863,-118.978133,13.737,567.9,-226.1,-344.1,0.67
2015,07,06,12,33,41.620,34.401103,-118.979728,13.739,421.0,-199.5,-341.8,0.46
2015,07,06,12,39,58.440,34.400696,-118.981340,13.907,273.0,-244.5,-173.8,0.83
2015,07,06,15,06,04.420,34.403467,-118.981063,13.702,298.9,62.8,-379.1,0.57
