YYYY,MM,DD,hh,mm,ss.ss,Lat(deg),Long(deg),depth(km),Magnitude
2014,02,02,05,44,49.19,37.641435,-118.998893,8.415,0.8
2014,02,02,08,12,41.15,37.630835,-119.021932,4.950,0.0
2014,02,02,08,48,14.24,37.630697,-119.021289,4.925,1.2
2014,02,02,09,43,45.56,37.631779,-119.019694,4.930,0.3
2014,02,02,12,50,11.49,37.632003,-119.022078,4.915,0.2
2014,02,02,14,58,29.53,37.631685,-119.022087,4.926,0.9
2014,02,02,15,51,17.94,37.631848,-119.021484,4.944,0.3
2014,02,02,22,00,25.64,37.631356,-119.021981,4.953,0.1
2014,02,02,22,01,08.00,37.631502,-119.021940,4.949,0.1
2014,02,02,23,45,04.02,37.632149,-119.024268,4.961,-0.2
2014,02,02,23,45,26.56,37.632149,-119.021981,4.901,0.1
2014,02,02,23,49,14.88,37.630172,-119.022550,4.924,0.1
2014,02,02,23,57,18.28,37.632186,-119.021387,4.934,0.1
2014,02,03,04,34,22.06,37.630367,-119.021517,4.975,0.8
2014,02,03,08,31,29.64,37.631555,-119.018660,4.905,0.1
2014,02,03,08,53,01.89,37.631396,-119.021631,4.948,1.2
2014,02,03,09,08,52.43,37.630888,-119.021916,4.946,0.1
2014,02,03,11,51,01.11,37.631132,-119.020101,4.902,0.5
2014,02,03,11,58,21.94,37.632174,-119.024902,4.790,0.4
2014,02,03,11,58,42.61,37.632133,-119.024886,4.793,1.3
2014,02,03,11,58,51.33,37.632121,-119.024666,4.763,1.8
2014,02,03,12,00,10.98,37.631824,-119.025000,4.805,1.2
2014,02,03,12,00,53.81,37.631942,-119.025000,4.804,0.3
2014,02,03,14,29,55.59,37.631799,-119.021493,4.944,0.6
2014,02,03,16,06,36.59,37.631832,-119.020068,4.889,0.3
2014,02,03,17,27,13.72,37.631506,-119.020215,4.897,0.5
2014,02,03,19,20,58.72,37.630904,-119.021509,4.912,0.1
2014,02,03,21,38,46.68,37.630766,-119.021948,4.956,0.3
2014,02,03,22,03,49.60,37.630994,-119.020776,4.875,0.3
2014,02,03,22,04,19.52,37.630949,-119.020760,4.887,0.6
2014,02,03,22,55,42.72,37.630750,-119.020451,4.892,0.1
