time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-02-28T09:56:41.330Z,39.5205,-119.9318,5.8,0.5,ml,24,39.62,0.074,0.1113,nn,nn00236308,2018-07-24T21:28:07.043Z,"Nevada",earthquake,,1.6,0.11,9,reviewed,nn,nn
2008-02-28T13:30:57.996Z,39.5232,-119.9342,6.1,0.3,ml,15,43.39,0.077,0.1157,nn,nn00237060,2018-07-24T21:28:07.183Z,"Nevada",earthquake,,1.7,0.18,5,reviewed,nn,nn
2008-02-28T18:57:03.010Z,39.5255,-119.9393,5.4,0.6,ml,15,54.56,0.081,0.1225,nn,nn00236356,2018-07-24T21:28:07.309Z,"Nevada",earthquake,,2.5,0.1,4,reviewed,nn,nn
2008-02-28T21:09:39.296Z,39.5246,-119.9337,7.8,0.4,ml,9,51.2,0.077,0.1272,nn,nn00237761,2018-07-24T21:28:07.434Z,"Nevada",earthquake,,2.7,0.13,3,reviewed,nn,nn
2008-02-28T23:06:01.555Z,39.52,-119.9263,4,1.7,ml,18,21.35,0.07,0.0988,nn,nn00236421,2018-07-24T21:28:06.626Z,"Nevada",earthquake,,3.2,0.36,6,reviewed,nn,nn
2008-02-28T23:07:12.295Z,39.5199,-119.9304,6.1,1.9,ml,39,20.28,0.073,0.1319,nn,nn00236422,2018-07-24T21:28:07.595Z,"Nevada",earthquake,,0.9,0.36,11,reviewed,nn,nn
2008-02-28T23:17:17.173Z,39.5215,-119.9345,5.3,0.7,ml,18,40.19,0.077,0.1164,nn,nn00237763,2017-06-19T19:04:37.517Z,"Nevada",earthquake,,2.2,0.14,7,reviewed,nn,nn
2008-02-28T23:18:44.082Z,39.5187,-119.9299,6.6,1.3,ml,35,22.16,0.073,0.142,nn,nn00236426,2018-07-24T21:28:07.969Z,"Nevada",earthquake,,0.8,0.35,12,reviewed,nn,nn
2008-02-28T23:52:20.718Z,39.5187,-119.9326,5,1,ml,21,40.28,0.075,0.1214,nn,nn00236431,2018-07-24T21:28:08.160Z,"Nevada",earthquake,,1.6,0.27,6,reviewed,nn,nn
2008-02-29T00:05:52.911Z,39.5269,-119.9425,5.7,0.5,ml,9,54.48,0.082,0.1318,nn,nn00434723,2018-07-24T21:28:18.098Z,"Nevada",earthquake,,2.5,0.44,4,reviewed,nn,nn
2008-02-29T00:08:08.909Z,39.5206,-119.9385,7.9,0.1,ml,5,91.76,0.08,0.1104,nn,nn00434730,2018-07-24T21:28:18.205Z,"Nevada",earthquake,,3.9,0.2,2,reviewed,nn,nn
2008-02-29T00:50:43.594Z,39.521,-119.9411,6.1,0.5,ml,10,54.06,0.082,0.123,nn,nn00237285,2018-07-24T21:28:17.857Z,"Nevada",earthquake,,2,0.29,6,reviewed,nn,nn
2008-02-29T02:14:33.503Z,39.5222,-119.9427,6.7,0.4,ml,9,53.8,0.083,0.0939,nn,nn00237720,2018-07-24T21:28:17.977Z,"Nevada",earthquake,,1.8,0.12,4,reviewed,nn,nn
2008-02-29T11:30:48.721Z,39.525,-119.9311,6.1,0.4,ml,13,51.19,0.075,0.1337,nn,nn00450260,2018-07-24T21:28:18.421Z,"Nevada",earthquake,,1.7,0.11,3,reviewed,nn,nn
2008-03-02T04:09:13.604Z,39.5183,-119.9323,6.9,1.8,ml,35,28.41,0.075,0.1532,nn,nn00236668,2018-07-24T21:28:25.945Z,"Nevada",earthquake,,0.9,0.32,9,reviewed,nn,nn
2008-03-02T04:45:03.011Z,39.519,-119.9325,6.9,0.6,ml,17,48,0.075,0.134,nn,nn00236669,2018-07-24T21:28:25.632Z,"Nevada",earthquake,,1.7,0.29,5,reviewed,nn,nn
2008-03-02T04:50:31.828Z,39.5202,-119.9311,5.9,0.9,ml,19,46.86,0.074,0.1451,nn,nn00236670,2018-07-24T21:28:25.771Z,"Nevada",earthquake,,2,0.19,4,reviewed,nn,nn
2008-03-03T03:54:21.333Z,39.5132,-119.9456,6.1,0.3,ml,8,96.06,0.084,0.1232,nn,nn00441434,2018-07-24T21:28:32.043Z,"Nevada",earthquake,,2.4,0.15,4,reviewed,nn,nn
2008-03-03T15:18:31.812Z,39.5194,-119.9282,6.5,1.9,ml,42,21.33,0.002,0.1355,nn,nn00257346,2017-06-19T19:04:41.514Z,"Nevada",earthquake,,0.8,0.32,11,reviewed,nn,nn
2008-03-03T22:43:48.747Z,39.5216,-119.9297,5.1,1.5,ml,26,26,0.073,0.1219,nn,nn00237773,2018-07-24T21:28:32.638Z,"Nevada",earthquake,,1.7,0.29,6,reviewed,nn,nn
2008-03-04T02:54:00.586Z,39.5206,-119.9284,6.8,0.7,ml,14,88.74,0.072,0.1132,nn,nn00442174,2018-07-24T21:28:36.928Z,"Nevada",earthquake,,1.8,0.4,6,reviewed,nn,nn
2008-03-05T04:20:22.964Z,39.5236,-119.9313,4.7,0.5,ml,18,54.89,0.075,0.1177,nn,nn00237096,2018-07-24T21:28:40.816Z,"Nevada",earthquake,,2.3,0.32,5,reviewed,nn,nn
2008-03-05T10:27:46.719Z,39.5242,-119.9297,1.1,1.6,ml,26,21.45,0.023,0.1227,nn,nn00237121,2018-07-24T21:28:40.611Z,"Nevada",earthquake,,2.5,0.23,6,reviewed,nn,nn
2008-03-05T18:07:29.376Z,39.5247,-119.9325,5.6,0.6,ml,17,50.92,0.076,0.1282,nn,nn00237315,2018-07-24T21:28:41.051Z,"Nevada",earthquake,,1.9,0.32,5,reviewed,nn,nn
2008-03-05T18:52:31.051Z,39.5198,-119.9329,4,0.8,ml,12,50.45,0.075,0.1246,nn,nn00502871,2017-06-19T19:04:43.381Z,"Nevada",earthquake,,5,0.48,6,reviewed,nn,nn
2008-03-05T19:13:22.285Z,39.5223,-119.9345,5.6,0.9,ml,12,40.21,0.077,0.1352,nn,nn00237754,2018-07-24T21:28:40.448Z,"Nevada",earthquake,,2.5,0.2,5,reviewed,nn,nn
2008-03-06T16:55:45.455Z,39.5219,-119.9325,5.6,0.9,ml,21,54.67,0.075,0.1408,nn,nn00237743,2018-07-24T21:28:44.320Z,"Nevada",earthquake,,1.7,0.16,5,reviewed,nn,nn
2008-03-06T17:13:23.651Z,39.5167,-119.9404,4.8,0.3,ml,10,53.96,0.081,0.1127,nn,nn00502901,2017-06-19T19:04:44.851Z,"Nevada",earthquake,,4.5,0.07,3,reviewed,nn,nn
2008-03-06T17:23:45.444Z,39.4921,-119.9282,1.5,0,ml,3,308.66,0.118,0.1976,nn,nn00502903,2018-07-24T21:28:45.263Z,"Nevada",earthquake,,61.2,0,1,reviewed,nn,nn
2008-03-06T17:38:14.615Z,39.5271,-119.9249,5,0.5,ml,18,41.01,0.071,0.1221,nn,nn00237745,2018-07-24T21:28:44.465Z,"Nevada",earthquake,,2.2,0.37,5,reviewed,nn,nn
2008-03-06T19:02:32.253Z,39.5224,-119.9405,5.7,0.6,ml,14,54.21,0.081,0.127,nn,nn00237748,2018-07-24T21:28:44.591Z,"Nevada",earthquake,,2.6,0.35,4,reviewed,nn,nn
2008-03-08T10:07:00.399Z,39.5229,-119.9321,1.5,3.2,ml,39,17.62,0.024,0.136,nn,nn00237524,2018-07-24T21:28:53.931Z,"1km NNW of Mogul, Nevada",earthquake,,2.4,0.16,5,reviewed,nn,nn
2008-03-08T10:10:15.266Z,39.5133,-119.9459,5.1,0.1,ml,4,173.6,0.095,0.1005,nn,nn00503061,2018-07-24T21:28:55.429Z,"Nevada",earthquake,,10.2,0,1,reviewed,nn,nn
2008-03-08T10:10:55.200Z,39.5238,-119.9332,5.5,0.2,ml,6,92.5,0.076,0.1985,nn,nn00503068,2018-07-24T21:28:55.630Z,"Nevada",earthquake,,6.7,0.05,3,reviewed,nn,nn
2008-03-08T10:11:20.897Z,39.4978,-119.9384,4.2,0,ml,3,307.81,0.111,0.0639,nn,nn00503067,2018-07-24T21:28:55.539Z,"Nevada",earthquake,,15.6,0.04,2,reviewed,nn,nn
2008-03-08T10:21:09.048Z,39.5201,-119.9312,5.6,0.2,ml,6,136.7,0.091,0.1222,nn,nn00503206,2018-07-24T21:28:56.075Z,"Nevada",earthquake,,4.8,0.16,4,reviewed,nn,nn
2008-03-08T10:21:20.329Z,39.5248,-119.934,4.6,0.4,ml,8,89.52,0.086,0.1872,nn,nn00503208,2018-07-24T21:28:56.170Z,"Nevada",earthquake,,6.2,0.14,4,reviewed,nn,nn
2008-03-08T10:23:17.735Z,39.5225,-119.9354,4.9,0.1,ml,7,93.04,0.078,0.1535,nn,nn00503210,2018-07-24T21:28:56.270Z,"Nevada",earthquake,,5.3,0.52,3,reviewed,nn,nn
2008-03-08T10:36:33.974Z,39.5213,-119.9285,5.4,1.4,ml,25,27.37,0.072,0.133,nn,nn00237529,2018-07-24T21:28:54.281Z,"Nevada",earthquake,,1.7,0.13,5,reviewed,nn,nn
2008-03-08T10:38:26.784Z,39.5227,-119.9496,5.6,0,ml,5,88.91,0.086,0.0822,nn,nn00503220,2018-07-24T21:28:56.474Z,"Nevada",earthquake,,5.2,0.18,2,reviewed,nn,nn
2008-03-08T10:57:22.086Z,39.5264,-119.9311,5.4,0.1,ml,6,92.49,0.075,0.0959,nn,nn00503219,2018-07-24T21:28:56.367Z,"Nevada",earthquake,,4.1,0.18,3,reviewed,nn,nn
2008-03-08T10:58:57.679Z,39.5225,-119.9357,6.5,0.3,ml,,,,,nn,nn00238390,2018-07-24T21:28:53.373Z,"Nevada",earthquake,,,,,reviewed,nn,nn
2008-03-08T10:58:57.687Z,39.5246,-119.9313,6.2,0.3,ml,9,51.25,0.075,0.1021,nn,nn00503320,2018-07-24T21:28:57.130Z,"Nevada",earthquake,,2.1,0.07,3,reviewed,nn,nn
2008-03-08T12:01:31.887Z,39.5219,-119.9374,5.2,0.2,ml,6,93.35,0.088,0.1183,nn,nn00503237,2018-07-24T21:28:56.658Z,"Nevada",earthquake,,5.5,0.42,5,reviewed,nn,nn
2008-03-08T12:01:31.888Z,39.5219,-119.9374,5.2,0.2,ml,6,93.35,0.088,0.1183,nn,nn00503233,2018-07-24T21:28:56.568Z,"Nevada",earthquake,,5.5,0.42,5,reviewed,nn,nn
2008-03-08T12:15:11.238Z,39.5226,-119.9335,5.8,0.1,ml,6,92.85,0.088,0.1562,nn,nn00503238,2018-07-24T21:28:56.762Z,"Nevada",earthquake,,6.5,0.38,3,reviewed,nn,nn
2008-03-08T12:25:31.354Z,39.5252,-119.9302,2.3,0.1,ml,5,137.43,0.086,0.1386,nn,nn00503240,2018-07-24T21:28:56.850Z,"Nevada",earthquake,,20,0.02,2,reviewed,nn,nn
2008-03-08T12:28:40.199Z,39.5236,-119.9257,5.5,0.2,ml,6,138.43,0.089,0.1137,nn,nn00503244,2018-07-24T21:28:56.941Z,"Nevada",earthquake,,5.4,0.21,4,reviewed,nn,nn
2008-03-08T12:48:19.444Z,39.5097,-119.9618,4.1,0,ml,4,177.75,0.098,0.1758,nn,nn00503322,2018-07-24T21:28:57.233Z,"Nevada",earthquake,,7.7,0.02,2,reviewed,nn,nn
2008-03-08T12:51:03.703Z,39.5257,-119.9284,5.9,0.2,ml,6,92.63,0.073,0.088,nn,nn00503323,2018-07-24T21:28:57.322Z,"Nevada",earthquake,,5.9,0.05,3,reviewed,nn,nn
2008-03-08T12:52:34.131Z,39.5185,-119.942,5.2,0,ml,6,171.68,0.082,0.0876,nn,nn00503331,2018-07-24T21:28:57.496Z,"Nevada",earthquake,,5.7,0,2,reviewed,nn,nn
2008-03-08T12:52:57.744Z,39.5254,-119.9284,5.6,0.2,ml,5,137.91,0.086,0.088,nn,nn00503341,2018-07-24T21:28:57.590Z,"Nevada",earthquake,,5.9,0.1,3,reviewed,nn,nn
2008-03-08T13:46:02.775Z,39.5256,-119.9312,5.4,0.4,ml,15,55.07,0.075,0.1247,nn,nn00238392,2018-07-24T21:28:53.294Z,"Nevada",earthquake,,2.3,0.19,5,reviewed,nn,nn
2008-03-08T14:32:33.381Z,39.5183,-119.9402,4.8,0.1,ml,6,93.12,0.09,0.105,nn,nn00503347,2018-07-24T21:28:57.763Z,"Nevada",earthquake,,6.1,0.07,3,reviewed,nn,nn
2008-03-08T16:33:31.897Z,39.4951,-119.9398,3.9,0.2,ml,3,176.27,0.114,0.0741,nn,nn00503250,2018-07-24T21:28:57.030Z,"Nevada",earthquake,,12.1,0.13,2,reviewed,nn,nn
2008-03-08T16:58:25.329Z,39.5232,-119.9242,6.3,0.3,ml,13,57.5,0.069,0.1347,nn,nn00238396,2018-07-24T21:28:54.433Z,"Nevada",earthquake,,2.1,0.19,4,reviewed,nn,nn
2008-03-08T17:04:46.692Z,39.5218,-119.9272,6.2,0.8,ml,19,54.98,0.071,0.1303,nn,nn00237620,2018-07-24T21:28:54.555Z,"Nevada",earthquake,,1.3,0.3,6,reviewed,nn,nn
2008-03-08T17:06:20.745Z,39.5236,-119.9325,6.7,0.4,ml,12,54.82,0.076,0.1146,nn,nn00238397,2018-07-24T21:28:54.681Z,"Nevada",earthquake,,2,0.2,4,reviewed,nn,nn
2008-03-08T17:07:47.402Z,39.523,-119.9301,4.3,1,ml,23,46.3,0.074,0.1259,nn,nn00238014,2018-07-24T21:28:54.812Z,"Nevada",earthquake,,1.8,0.14,7,reviewed,nn,nn
2008-03-08T17:40:37.422Z,39.5249,-119.9276,5.9,0.3,ml,8,82.82,0.087,0.0902,nn,nn00238398,2018-07-24T21:28:54.947Z,"Nevada",earthquake,,4.1,0.16,3,reviewed,nn,nn
2008-03-08T18:58:12.842Z,39.5217,-119.9347,5.3,0.1,ml,4,227.36,0.088,0.1245,nn,nn00503080,2018-07-24T21:28:55.897Z,"Nevada",earthquake,,9.6,0,2,reviewed,nn,nn
2008-03-08T18:58:27.597Z,39.4783,-119.9362,4.7,0,ml,3,309.77,0.131,0.1365,nn,nn00503352,2018-07-24T21:28:57.852Z,"Nevada",earthquake,,16.5,0,1,reviewed,nn,nn
2008-03-08T19:42:45.088Z,39.5246,-119.93,3.9,1.1,ml,18,55.05,0.074,0.1435,nn,nn00237644,2018-07-24T21:28:57.963Z,"Nevada",earthquake,,3,0.18,5,reviewed,nn,nn
2008-03-08T19:53:57.866Z,39.5236,-119.9257,6.2,0.3,ml,9,90.95,0.07,0.1042,nn,nn00238399,2018-07-24T21:28:53.458Z,"Nevada",earthquake,,2.2,0.13,4,reviewed,nn,nn
2008-03-08T20:03:22.287Z,39.5192,-119.9299,6.1,0.8,ml,22,45.92,0.073,0.136,nn,nn00237569,2018-07-24T21:28:53.577Z,"Nevada",earthquake,,1.5,0.32,6,reviewed,nn,nn
2008-03-08T21:20:21.368Z,39.5229,-119.9309,5.9,0.5,ml,14,54.86,0.074,0.1325,nn,nn00238401,2018-07-24T21:28:53.702Z,"Nevada",earthquake,,2.2,0.37,4,reviewed,nn,nn
2008-03-08T21:30:49.740Z,39.522,-119.9315,6.4,1.3,ml,26,21.4,0.074,0.131,nn,nn00237573,2018-07-24T21:28:55.068Z,"Nevada",earthquake,,1.1,0.18,7,reviewed,nn,nn
2008-03-08T21:39:35.111Z,39.5239,-119.9305,4.5,0.7,ml,22,40.53,0.074,0.1041,nn,nn00237574,2018-07-24T21:28:55.229Z,"Nevada",earthquake,,1.8,0.38,6,reviewed,nn,nn
2008-03-08T23:03:44.188Z,39.5132,-119.9405,5.2,0,ml,4,172.46,0.096,0.1189,nn,nn00503077,2018-07-24T21:28:55.805Z,"Nevada",earthquake,,9,0.08,2,reviewed,nn,nn
2008-03-09T00:02:54.331Z,39.5246,-119.9378,4.6,0.3,ml,16,54.57,0.08,0.1339,nn,nn00237901,2018-07-24T21:29:01.847Z,"Nevada",earthquake,,3.3,0.34,3,reviewed,nn,nn
2008-03-09T00:11:39.333Z,39.5259,-119.929,5,0.3,ml,11,56.85,0.073,0.1124,nn,nn00237580,2018-07-24T21:29:01.122Z,"Nevada",earthquake,,3.3,0.24,4,reviewed,nn,nn
2008-03-09T00:13:56.097Z,39.5142,-119.9454,5.9,0.1,ml,5,173.3,0.094,0.1043,nn,nn00503365,2018-07-24T21:29:02.955Z,"Nevada",earthquake,,5.7,0.14,2,reviewed,nn,nn
2008-03-09T00:23:04.693Z,39.5081,-119.9543,4.6,0,ml,4,176.51,0.1,0.1084,nn,nn00503373,2018-07-24T21:29:03.042Z,"Nevada",earthquake,,8.1,0.24,2,reviewed,nn,nn
2008-03-09T01:01:05.571Z,39.5071,-119.9473,3.3,0,ml,4,254.05,0.019,0.0343,nn,nn00503379,2018-07-24T21:29:03.132Z,"Nevada",earthquake,,16.1,0.29,2,reviewed,nn,nn
2008-03-09T01:02:24.384Z,39.5217,-119.9277,6.2,0.8,ml,21,54.87,0.003,0.1164,nn,nn00237582,2018-07-24T21:29:00.988Z,"Nevada",earthquake,,1,0.4,6,reviewed,nn,nn
2008-03-09T01:12:22.129Z,39.5212,-119.9314,5.3,0.9,ml,28,40.41,0.001,0.1268,nn,nn00237583,2018-07-24T21:29:02.439Z,"Nevada",earthquake,,1,0.28,7,reviewed,nn,nn
2008-03-09T01:15:40.088Z,39.5212,-119.924,7.2,0.7,ml,22,40.96,0.005,0.1025,nn,nn00237584,2018-07-24T21:29:01.704Z,"Nevada",earthquake,,1.2,0.36,6,reviewed,nn,nn
2008-03-09T01:18:34.365Z,39.522,-119.9228,5.1,0.6,ml,13,55.27,0.006,0.1319,nn,nn00503388,2018-07-24T21:29:03.233Z,"Nevada",earthquake,,2.5,0.19,4,reviewed,nn,nn
2008-03-09T02:37:51.724Z,39.5251,-119.9275,6.1,0.4,ml,10,92.39,0.006,0.1016,nn,nn00238688,2018-07-24T21:29:02.197Z,"Nevada",earthquake,,2.8,0.11,3,reviewed,nn,nn
2008-03-09T03:07:53.415Z,39.523,-119.9313,6.6,0.1,ml,4,168.45,0.088,0.1124,nn,nn00503852,2018-07-24T21:29:03.340Z,"Nevada",earthquake,,6,0.14,2,reviewed,nn,nn
2008-03-09T03:28:42.063Z,39.527,-119.9358,6.2,0,ml,7,87.34,0.008,0.1533,nn,nn00458815,2018-07-24T21:29:03.431Z,"Nevada",earthquake,,3.3,0.11,3,reviewed,nn,nn
2008-03-09T06:01:59.936Z,39.5254,-119.9248,5.8,0.1,ml,5,120,0.007,0.1176,nn,nn00503866,2018-07-24T21:29:03.662Z,"Nevada",earthquake,,4.4,0.33,4,reviewed,nn,nn
2008-03-09T06:46:17.948Z,39.5224,-119.9346,0.8,1.9,ml,35,20.4,0.004,0.1167,nn,nn00237589,2018-07-24T21:29:02.646Z,"Nevada",earthquake,,3,0.19,6,reviewed,nn,nn
2008-03-09T06:47:33.337Z,39.5213,-119.9344,1,1.8,ml,31,20.36,0.003,0.1116,nn,nn00237590,2018-07-24T21:29:02.003Z,"Nevada",earthquake,,3.1,0.17,4,reviewed,nn,nn
2008-03-09T07:00:58.985Z,39.521,-119.9172,5.7,0.2,ml,9,92.91,0.01,0.1107,nn,nn00238706,2018-07-24T21:29:02.310Z,"Nevada",earthquake,,2.8,0.23,2,reviewed,nn,nn
2008-03-09T07:34:06.210Z,39.5222,-119.9285,5.1,0.8,ml,15,54.94,0.003,0.1154,nn,nn00237595,2018-07-24T21:29:01.564Z,"Nevada",earthquake,,2.1,0.18,4,reviewed,nn,nn
2008-03-09T08:20:41.234Z,39.517,-119.9458,4.4,0.2,ml,5,172.81,0.013,0.1672,nn,nn00503882,2018-07-24T21:29:03.759Z,"Nevada",earthquake,,10.6,0.07,2,reviewed,nn,nn
2008-03-09T08:31:06.422Z,39.5209,-119.9297,4.6,0.9,ml,23,33.98,0.001,0.1214,nn,nn00237598,2018-07-24T21:29:01.407Z,"Nevada",earthquake,,1.6,0.44,5,reviewed,nn,nn
2008-03-09T08:57:40.360Z,39.5218,-119.9313,3.5,0.1,ml,10,104.26,0.002,0.1555,nn,nn00238731,2018-07-24T21:29:02.849Z,"Nevada",earthquake,,4.2,0.47,4,reviewed,nn,nn
2008-03-09T09:41:50.322Z,39.5158,-119.9328,4.5,0.2,ml,8,95.45,0.005,0.1158,nn,nn00503890,2018-07-24T21:29:03.855Z,"Nevada",earthquake,,3.4,0.65,4,reviewed,nn,nn
2008-03-09T09:52:36.903Z,39.5197,-119.9309,4,0,ml,7,93.39,0.001,0.1704,nn,nn00503896,2018-07-24T21:29:03.954Z,"Nevada",earthquake,,5.1,0.1,3,reviewed,nn,nn
2008-03-09T10:08:07.296Z,39.5144,-119.9329,3.4,0.1,ml,7,95.04,0.006,0.1897,nn,nn00503938,2018-07-24T21:29:04.056Z,"Nevada",earthquake,,9.2,0.09,2,reviewed,nn,nn
2008-03-09T10:20:10.528Z,39.5227,-119.9293,6.6,0.3,ml,8,75.62,0.003,0.1279,nn,nn00503950,2018-07-24T21:29:04.162Z,"Nevada",earthquake,,2.4,0.11,4,reviewed,nn,nn
2008-03-09T10:21:30.729Z,39.5183,-119.9314,5.5,0.1,ml,9,93.81,0.002,0.1189,nn,nn00503959,2018-07-24T21:29:04.267Z,"Nevada",earthquake,,3.7,0.38,5,reviewed,nn,nn
2008-03-09T10:49:07.421Z,39.519,-119.9266,6.2,0.4,ml,14,40.73,0.003,0.1072,nn,nn00237674,2018-07-24T21:29:04.480Z,"Nevada",earthquake,,1.6,0.41,6,reviewed,nn,nn
